text,sentiment,predicted_sentiment,confidence
"To me, the real winner of last night #GOPDebate was @megynkelly. #MegynKelly",Positive,Positive,0.8268930912017822
"RT @DanScavino: .@megynkelly,
Some results on how candidates did at #GOPDebate. #MakeAmericaGreatAgain #Trump2016 #KellyFailed http://t.co/…",Positive,Negative,0.5289214849472046
I'm going to bed...@JohnKasich gets my vote tonight #GOPDebate #GOPDebates,Positive,Neutral,0.7811485528945923
@FoxNews  after last night's #GOPDebate  @RealBenCarson @GovMikeHuckabee  have emerged as my top two,Positive,Positive,0.4941021800041199
RT @TCPalmKGardner: Who told the truth and whose pants are on fire from last night's #GOPDebate? http://t.co/WhLKEkq2FM …,Neutral,Negative,0.5247732996940613
"I won't defend @FoxNews, they were FAR from fair OR balanced last night, but name calling is juvenile. #GOPDebate",Negative,Negative,0.8564298748970032
"RT @CCalbos: Huckabee: ""the military is to kill people and break things."" On behalf of military families...F you. #GOPDebate",Negative,Negative,0.9316750168800354
RT @ryanbeckwith: TRANSCRIPT: Here is the full and final text of the #GOPDebate http://t.co/Wp0C9V3utf http://t.co/WFyL0lwpoL,Neutral,Neutral,0.9329999089241028
loved watching the #GOPdebates tonight. Lot of good stuff &amp; some not so good stuff. Really enjoyed watching it with my daughter &amp; discussing,Positive,Positive,0.9809963703155518
"RT @KaivanShroff: Wow. Beyond delusional...like I think literally zero people, even the most conservative, would agree #GOPDebate  https://…",Negative,Negative,0.9146364331245422
In the aftermath of the #GOPDebate I’m inclined to say that the stage impressed me more than I thought. Except trump. His ride is ending.,Negative,Positive,0.8978403806686401
RT @ShawnDrurySC: Jeb: My father was...OH NEVERMIND. Parenting is so overrated. #GOPDebates #BNRDebates,Negative,Negative,0.7982349991798401
Wondering how the day after the #GOPDebate is going? I've ordered Dominos and read through my watch party swag: http://t.co/NQqXm33AEr,Positive,Neutral,0.7606871724128723
RT @kristenjobarton: me @ #GOPDebate talking about Planned Parenthood http://t.co/OYIZmqZoWj,Neutral,Neutral,0.7761508822441101
RT @loribuckmajor: It's cute how Chris Christie has the Bob's Big Boy haircut #GOPDebates,Negative,Positive,0.8072468638420105
'RealAlexJones will be taking twitter questions on #GOPdebate in 3rd hr of today's show. Watch live 11am-2pm ct: http://t.co/U2PTc9Yx3k v…,Neutral,Neutral,0.9162448048591614
"Fox News was second rate last night. ""Fair and Balanced"" needs to be replaced with ""Agendas and Pandering"" Terrible job Fox! #GOPDebate",Negative,Negative,0.9310015439987183
RT @RWSurferGirl: Why doesn't Chris Wallace ask the other politicans about their finances and where their money comes from? 🇺🇸 #GOPDebate  …,Negative,Neutral,0.6197106838226318
RT @JimSterling: Phew! Tuned into the #GOPDebate just in time! http://t.co/BIVfRZKaF4,Neutral,Positive,0.9589970707893372
RT @MaeDenver: I made a donation to the Democratic Party in the middle of last night's #GOPDebate &amp; I don't claim a party affiliation. #Sca…,Neutral,Neutral,0.8534448742866516
RT @Sanddragger: #TrumpBashing at it's finest. #MegynKelly #MegynKellyDebateQuestions #GOPDebate https://t.co/3vyUKSNrWE,Positive,Negative,0.5222063660621643
RT @RWSurferGirl: You would never know @realDonaldTrump  is the frontrunner from watching this debate. 🇺🇸 #GOPDebate  #GOPDebates,Neutral,Neutral,0.6015002727508545
I'm voting for Rand Paul's sassy eye rolling for president. #GOPDebates,Neutral,Neutral,0.6512444615364075
"RT @RWSurferGirl: It is very disappointing that Fox News is not conducting a ""Fair &amp; Balanced"" Debate. 🇺🇸 #GOPDebate  #GOPDebates",Negative,Negative,0.9307364821434021
"RT @cydelafield: Tonight on @andersoncooper: my uncle @DrNickMorgan, communicator &amp; body language analyst extraordinaire versus #GOPDebate",Neutral,Neutral,0.9079030156135559
“Are We Being Punk’d?” Twitter Has A Field Day With Round 1 Of The #GOPDebates http://t.co/0yX61vKDtm,Neutral,Negative,0.5232521295547485
RT @ArtIsWarUSA: #Democrats say Hail Hitlery #Socialist #DeathByDemocrat #Election2016 #StopHillary #GOPDebate #nazi #liberallogic http://t…,Negative,Negative,0.8235850930213928
RT @ObeyDlaw: @GroverNorquist @ChrisChristie No. He got his nose rubbed in dog shit for standing on the back of terror victims. #GOPdebate …,Negative,Negative,0.9259422421455383
"No, Rand Paul does not have a budget, he has budgets... multiple sets of books? Yep... #GopDebates",Negative,Neutral,0.6243038177490234
RT @76TomPaine: @seculardotorg “It is of the utmost danger to society to make religion a party in political disputes.” #GOPDebate,Neutral,Negative,0.8688417673110962
"RT @feministabulous: Great to see the crowd cheer for gay marriage, but depressing they also cheer for something as archaic as overturning …",Negative,Negative,0.7808166146278381
RT @ZeitgeistGhost: What i or any other sane person thinks of the of 1st #GOPDebate doesn't matter. It's the soulless pittiful assholes who…,Neutral,Negative,0.9298725128173828
Jesus! Who was letting out that banshee scream?! #GOPDebate #GOPDebates,Negative,Negative,0.8283475637435913
The perfect remedy for a #GOPDebate hangover is to #FF @s_cosgrove @rascality @DCdebbie @Satur9 @joanwalsh @RockyMntnMike @alikat747,Negative,Neutral,0.4073522388935089
"RT @TroothBooth: The moderators were childish, disrespectful, flippant and inflammatory. Shame on @FoxNews.

@Kilmeade @sdoocy @ehasselbeck…",Negative,Negative,0.9238615036010742
RT @OhioBATs: yes we need to listen to this #GOPDebate #Batsask why is that MR. Kasich  no trickle down working here!   https://t.co/jjABL8…,Negative,Negative,0.5187342762947083
RT @odinseye2k: Shorter @JebBush - I was interacting with your betters / richers so STFU. #GOPDebate #DebateWithBernie,Negative,Neutral,0.6165593862533569
In summary #GOPDebate #RSG15 http://t.co/FzNsfGkgOo,Negative,Neutral,0.8430878520011902
RT @DTCahill: FOX FIX IN: @FoxNews why no online #GOPDebate winner viewer poll? You had them in 2012? Afraid viewers will pick @realDonaldT…,Negative,Negative,0.7865549921989441
RT @warriorwoman91: Carly Declared Winner by Many at the first #GOPdebate http://t.co/82iEpzFJOm,Positive,Neutral,0.7101731896400452
RT @jjauthor: I just have to say I like @megynkellybut but she has gone over the top. She was trying to be the star instead of the candidat…,Negative,Negative,0.5372388362884521
RT @Desdemona4U: It was unfathomable that @megynkelly would ask Wasserman-Schultz to do a postmortem on the #GOPDebates. #SURREAL https://t…,Negative,Negative,0.8622802495956421
